Grid,o1_15,o2_15,o3_15,o4_15,o5_15,o6_15,o7_15,o8_15,o1_21,o2_21,o3_21,o4_21,o5_21,o6_21,o7_21,o8_21,elevation,treecover,strmden,housden,prey_count
1378,2,0,0,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,3218.083496,0.973151207,4.28443861,22.12000084,16
1379,0,0,1,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,2818.510986,0.980820596,4.355492115,0.079999998,58
1380,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,2328.26416,0.979272425,4.130152702,0.200000003,0
1652,0,1,3,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,2635.314453,0.935431719,4.642543316,16.07999992,9
1719,0,0,1,1,0,0,NA,NA,1,0,1,0,0,NA,NA,NA,2664.041504,0.910307765,4.564050198,20.95999908,20
1787,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3627.900879,0.745247006,4.131503582,14.11999989,1
1856,0,0,0,0,NA,NA,NA,NA,0,1,1,1,0,NA,NA,NA,3910.039551,0.822287083,3.482738733,0.079999998,0
1924,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,3910.039551,0.822287083,3.726061583,0.079999998,0
1991,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,4455.20459,NA,3.759859085,0.400000006,NA
1992,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3823.585693,0.762394249,3.707121372,0.639999986,0
1586,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3513.631836,0.915503025,3.926787138,0.479999989,0
1519,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3133.415283,0.987570286,4.520014763,0.319999993,0
1520,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2072.787109,0.971417964,4.674154758,7.199999809,43
1521,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2027.934082,0.985384166,3.892490149,0.319999993,11
1589,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,2771.098633,0.978949368,3.99990344,0.039999999,5
1454,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,3376.032471,0.890882432,3.389638186,0,16
1590,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2742.599609,0.945106924,3.950531483,0.079999998,5
1726,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2948.610107,0.906568527,4.379908562,1.120000005,5
901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2765.954102,0.767643452,3.627569199,33.04000092,3
834,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,4023.016113,0.386944562,3.855310917,0.400000006,0
903,0,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,NA,NA,NA,3878.348145,0.510281742,3.830058098,1.960000038,0
902,0,0,0,0,0,0,0,NA,1,0,0,0,0,NA,NA,NA,3878.348145,0.510281742,3.564981222,1.960000038,0
971,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3550.02417,0.739101052,3.653863907,5.800000191,NA
970,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,3274.619385,0.846854031,3.82617569,12,0
1243,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,3141.408447,0.975019872,3.916319609,3.039999962,2
1311,0,1,0,0,0,0,1,1,0,0,0,0,0,0,NA,NA,3083.648926,0.920542121,3.906919003,93.04000092,1
1310,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,3029.105469,0.958539546,4.164239407,37.27999878,19
1309,1,1,1,1,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,3776.185303,0.797763169,3.817050219,0.319999993,1
1241,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3755.802246,0.858882368,3.616690397,1.480000019,0
1240,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,3914.54541,0.636965454,3.908998013,0.600000024,1
1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3914.54541,0.636965454,3.908998013,0.600000024,1
1172,0,0,0,0,0,0,2,0,0,1,0,1,0,NA,NA,NA,3189.182129,0.896977186,3.908998013,13.76000023,16
1173,0,0,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3507.481934,0.884987056,3.976447582,11.03999996,6
1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3051.768311,0.929366231,4.140717506,18.15999985,4
704,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2115.166748,0.985855103,3.934654951,3.75999999,0
705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2115.166748,0.985855103,3.934654951,3.75999999,0
783,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,2498.649902,0.999294758,3.275098801,0.239999995,57
772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2115.166748,0.985855103,3.807413578,3.75999999,0
840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1548.775757,0.985056758,4.060839653,1.120000005,0
839,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2025.383057,0.999359548,4.117815018,0.400000006,27
773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1705.085327,0.980131269,3.918758631,3.880000114,0
907,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,1752.651855,0.963207781,4.458088398,10.68000031,5
974,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,2140.479492,0.978858471,4.117845535,7.960000038,11
906,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2643.269287,0.996247172,3.614438772,0.239999995,4
973,0,0,0,0,NA,NA,NA,NA,0,0,2,0,0,0,NA,NA,3078.147705,0.940897107,4.271947861,0.479999989,4
904,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4177.699219,0.194805026,3.722319841,1.399999976,0
972,0,0,0,0,0,NA,NA,NA,0,2,0,1,0,NA,NA,NA,3794.156494,0.599615574,3.696575165,1.440000057,NA
1109,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,3031.566162,0.972687066,3.777908325,0.920000017,0
1177,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,2987.196045,0.976500034,3.777908325,3.039999962,2
498,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,2180.115234,0.999472082,3.645256281,0.280000001,40
1176,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,2987.196045,0.976500034,3.777908325,3.039999962,2
1040,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,3530.340576,0.882490575,3.923495531,2.75999999,0
754,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2176.974121,0.996069312,4.584217548,0.200000003,0
1042,0,2,0,2,0,0,NA,NA,0,0,0,0,0,0,0,0,2048.116699,0.914080679,4.889706612,14.47999954,0
1312,1,0,1,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,2819.814453,0.99404031,3.916319609,0.200000003,12
1313,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1667.503052,0.846413732,3.917643785,42.36000061,16
1453,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2525.0896,0.986241102,4.122490883,0,0
1385,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,2525.0896,0.986241102,4.122490883,0,0
1384,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,2096.155273,0.963060379,4.287250042,11.47999954,1
1317,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,2637.202637,0.967008889,3.863442183,3.640000105,0
1318,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,3018.887451,0.865172207,3.802885771,13.88000011,3
1387,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,3076.025635,0.852084696,3.68813467,1.399999976,65
1250,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2287.489746,0.954901159,4.147724628,6.760000229,16
1319,0,2,0,2,0,2,NA,NA,3,2,0,0,2,NA,NA,NA,3393.835938,0.851292133,3.79412508,1,65
1388,0,0,0,0,NA,NA,NA,NA,0,2,0,0,0,NA,NA,NA,3393.835938,0.851292133,3.79412508,1,65
1320,3,0,1,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,3393.835938,0.851292133,3.79412508,1,65
1389,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3048.834229,0.833908021,4.105110645,7.079999924,6
1457,0,0,0,0,3,3,NA,NA,0,0,0,0,0,NA,NA,NA,3048.834229,0.833908021,4.05119133,7.079999924,4
